"","X","business_id","name","categories","city","state","stars","review_count","BusinessParking_street","BusinessParking_validated","BusinessParking_lot","BusinessParking_valet","BikeParking","Caters","WheelchairAccessible","OutdoorSeating","GoodForMeal_latenight","GoodForMeal_lunch","GoodForMeal_dinner","GoodForMeal_breakfast","GoodForMeal_brunch","CoatCheck","DogsAllowed","NumberOfCheckins","BusinessType"
"11",13,"-1m9o3vGRA8IBPNvNqKLmA","""Bavette's Steakhouse & Bar""","African;Restaurants;Nightlife;Bars;Steakhouses;Cocktail Bars;American (New);Seafood","Las Vegas","NV",4.5,38,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,16,"Good"
"12",14,"-1UMR00eXtwaeh59pEiDjA","""Matt's Big Breakfast""","Food;Breakfast & Brunch;Sandwiches;Bars;Cocktail Bars;Nightlife;Restaurants","Phoenix","AZ",3.5,325,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,750,"Good"
"13",15,"-1VaIJza42Hjev6ukacCNg","""Rio Mirage Cafe Y Cantina""","Restaurants;Mexican;Tex-Mex","El Mirage","AZ",4,176,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,416,"Good"
"14",17,"-2bYV9zVtn2F5XpiAaHt5A","""Deli 194""","Delis;Restaurants","Edinburgh","EDH",3,4,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,4,"Good"
"15",18,"-2isRNVb6PDuBagELL5EBw","""Taco Bell""","Fast Food;Restaurants;Tex-Mex;Mexican","Phoenix","AZ",3,20,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,70,"Good"
"16",19,"-2pmn-oTJeybmDrL-ojwrw","""New Wrap Order""","Street Vendors;Food;Restaurants;Food Trucks;Wraps","Charlotte","NC",4.5,14,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,18,"Good"
"17",20,"-2pQf1ceDZyE2ReCNbj-3A","""Just Fresh""","Juice Bars & Smoothies;Breakfast & Brunch;American (Traditional);Food;Restaurants","Charlotte","NC",3.5,54,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,228,"Good"
"18",21,"-33_OPx1aKM22qxioPgJ_Q","""China Restaurant""","Chinese;Restaurants","Gastonia","NC",3,8,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,4,"Good"
"19",22,"-34vSRcMz_RjN00dWIiQ3Q","""Subway""","Restaurants;Fast Food;Sandwiches","Glendale","AZ",3,14,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,9,"Good"
"20",23,"-382X_bWhJKPJKP1VfXOmw","""Johnny Rockets""","Restaurants;Burgers;Sandwiches;American (Traditional)","West Mifflin","PA",2,41,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,26,"Bad"
"21",25,"-3zffZUHoY8bQjGfPSoBKQ","""Michael Mina""","Seafood;Bars;Nightlife;American (New);Restaurants","Las Vegas","NV",4,590,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,935,"Good"
"22",26,"-49WY_TEa9ZEcRk_GnuLog","""Cracker Barrel Old Country Store""","Restaurants;American (Traditional);Southern;Breakfast & Brunch","Sheffield Village","OH",3.5,31,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,164,"Good"
"23",27,"-4g68Hwm892_KPUuW5g1_Q","""Jimmy John's""","Food;Sandwiches;Food Delivery Services;Restaurants;Delis","Tempe","AZ",2.5,40,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,137,"Bad"
"24",28,"-4TMQnQJW1yd6NqGRDvAeA","""The House Brasserie""","Restaurants;French;Brasseries;Nightlife;Burgers;American (Traditional);American (New);Bars;Sandwiches","Scottsdale","AZ",4,353,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1031,"Good"
"25",29,"-4w2eZqQJcS-UNuB1lCPFA","""Subway""","Restaurants;Fast Food;Sandwiches","Gilbert","AZ",3,4,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,13,"Good"
"26",30,"-5DifC-lAFioAD_DLVgTMQ","""Firehouse Subs Mineral Point""","Sandwiches;Fast Food;Delis;Food;Restaurants","Madison","WI",4,28,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,88,"Good"
"27",31,"-5L8zOxibac-vBrsYtxXbQ","""Ed's Tavern""","American (Traditional);Bars;Sports Bars;Nightlife;Burgers;Restaurants","Charlotte","NC",3.5,102,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,524,"Good"
"28",32,"-5NXoZeGBdx3Bdk70tuyCw","""Po' Boys Restaurant""","Pizza;Restaurants;Barbeque","Urbana","IL",4,56,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,57,"Good"
"29",33,"-5XuRAfrjEiMN77J4gMQZQ","""Berrybrook Farm Natural Foods""","Home & Garden;Juice Bars & Smoothies;Home Services;Specialty Food;Restaurants;Sandwiches;Health Markets;Shopping;Grocery;Vegetarian;Building Supplies;Farmers Market;Food","Charlotte","NC",4,51,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,98,"Good"
"30",34,"-6c23X5Qf922FmsX_QHFqg","""Burreatos""","Restaurants;Mexican","Stuttgart","BW",4,26,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,16,"Good"
"31",35,"-6e0liTvH5EoB4HuncuQgA","""Small Bar Fort Mill""","Restaurants;Bars;Pubs;Sports Bars;Nightlife","Fort Mill","SC",4,7,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,10,"Good"
"32",36,"-6h3K1hj0d4DRcZNUtHDuw","""Brio Tuscan Grille""","Event Planning & Services;Breakfast & Brunch;Italian;Nightlife;Pizza;Cocktail Bars;Venues & Event Spaces;Wine Bars;Seafood;Bars;Restaurants","Scottsdale","AZ",3.5,449,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1968,"Good"
"33",37,"-6tvduBzjLI1ISfs3F_qTg","""Joyride Taco House""","Bars;Mexican;Restaurants;Nightlife","Gilbert","AZ",4,958,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,2563,"Good"
"34",38,"-73xAVllMh_O2nEAcGtbvQ","""Hardee's""","American (New);Restaurants","Madison","WI",3,7,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,28,"Good"
"35",39,"-79cl_yASWXiv7RmzirNxA","""Village Inn""","American (New);Breakfast & Brunch;Restaurants","Scottsdale","AZ",3,17,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,41,"Good"
"36",40,"-7d3UqQYYcBxbDH2do86sg","""Noodles & Company""","Comfort Food;Italian;Restaurants;Asian Fusion;Noodles","Peoria","AZ",3.5,50,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,51,"Good"
"37",41,"-7H-oXvCxJzuT42ky6Db0g","""Industry Public House""","Restaurants;American (New);Bars;Nightlife;Cocktail Bars","Pittsburgh","PA",3.5,466,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1105,"Good"
"38",42,"-7HB0UjguXW8csOH9svG4Q","""Sonic Drive-In""","Restaurants;Fast Food","Mesa","AZ",2,35,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,54,"Bad"
"39",43,"-7PX_FOoCwktlunImRyZdg","""Pizza Taglio""","Specialty Food;Italian;Local Flavor;Pizza;Restaurants;Food","Pittsburgh","PA",4.5,105,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,94,"Good"
"40",44,"-865Ps6xb3h1LP67JcQ3mA","""Rainbow Garden""","Chinese;Restaurants","Urbana","IL",3,35,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,68,"Good"
"41",45,"-8F04F54iDT6VgWPCgybug","""Ineffable Ca Phe""","Vietnamese;Food;Restaurants;Breakfast & Brunch;Coffee & Tea","Pittsburgh","PA",4.5,54,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,59,"Good"
"42",46,"-8fOqUWFX_1qiKggIt5LnA","""Chick-fil-A""","Restaurants;Fast Food;Caterers;Event Planning & Services","Concord","NC",4,23,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,113,"Good"
"43",47,"-8iwcXhLnyqbLgvcrJGgaw","""Red Rocks Cafe""","Salad;Seafood;Restaurants;Diners;Bars;Steakhouses;Nightlife;Soup;American (Traditional);Cafes","Huntersville","NC",4,158,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,461,"Good"
"44",48,"-8O8sVCnaIKHP-596zN9UA","""Blue Canyon Kitchen & Tavern""","Restaurants;American (Traditional);American (New)","Twinsburg","OH",3.5,159,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,285,"Good"
"45",49,"-8Oaw94x2pYJCVP8ZtuTTw","""Carrabba's Italian Grill""","Restaurants;Italian;Seafood;Nightlife;Wine Bars;Bars","Matthews","NC",3.5,76,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,203,"Good"
"46",51,"-8QlV3b_9H4BAh6LgMIr1g","""Nandini Indian Cuisine""","Indian;Buffets;Vegan;Restaurants","Tempe","AZ",4,436,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,432,"Good"
"47",52,"-8R_-EkGpUhBk55K9Dd4mg","""Sin City Thai Restaurant""","Thai;Restaurants","Las Vegas","NV",3.5,105,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,266,"Good"
"48",53,"-9CvNuJ35elp7YwIy4xHDw","""Jakarta Cafe""","Food Trucks;Indonesian;Food;Restaurants;Food Delivery Services","Madison","WI",3,6,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,"Good"
"49",54,"-9eNGMp8XiygI8t8QFuFWw","""The Melting Pot - Phoenix""","Restaurants;American (New);Fondue;Cafes;American (Traditional)","Phoenix","AZ",3.5,255,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,760,"Good"
"50",56,"-9nai28tnoylwViuJVrYEQ","""Tapas Papa Frita""","Spanish;Restaurants;Nightlife;Bars;Tapas/Small Plates","Scottsdale","AZ",3.5,412,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,988,"Good"
"51",57,"-9xZZLLxuQabvBDODqpM-g","""Lava Cafe and Hookah Lounge""","Cafes;Hookah Bars;Bars;Restaurants;Desserts;Nightlife;Food","Mesa","AZ",4.5,13,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,5,"Good"
"52",58,"-9y6MruLgFTNrl11SQRPFA","""Soderberg""","Scandinavian;Restaurants;Pizza","Edinburgh","EDH",4,8,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,13,"Good"
"53",59,"-9YyInW1wapzdNZrhQJ9dg","""Fresh Buffet""","Buffets;Restaurants","Las Vegas","NV",2.5,171,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,368,"Bad"
"54",60,"-Bdw-5H5C4AYSMGnAvmnzw","""Tuck Shop""","Nightlife;Food;Breakfast & Brunch;Bars;Cocktail Bars;American (New);Tea Rooms;Restaurants","Phoenix","AZ",4.5,531,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1254,"Good"
"55",61,"-BxWyEIQ6wypT-37MzZizQ","""Carly's Bistro""","Music Venues;Cafes;Restaurants;Arts & Entertainment;Desserts;Lounges;Nightlife;Sandwiches;Breakfast & Brunch;American (New);Food;Bars","Phoenix","AZ",4,367,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1859,"Good"
"56",62,"-C8sSrFqaCxp51pyo-fQLQ","""The Rice Shop""","Specialty Food;Food;Comfort Food;Asian Fusion;Restaurants","Las Vegas","NV",4.5,128,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,248,"Good"
"57",63,"-cBQKodqi77Q0vk-9iDvQA","""Fat Tuesday""","Nightlife;Restaurants;American (Traditional);Bars","Tempe","AZ",3.5,186,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1665,"Good"
"58",64,"-hMdEBaeky47g4D8-0Xl3Q","""Vu Bistro""","American (New);Cafes;Bars;Pizza;Nightlife;Restaurants;American (Traditional)","Fountain Hills","AZ",3,83,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,103,"Good"
"59",65,"-I27yVw2x_-31_OOMSH02w","""Local Loaf""","Delis;Restaurants;American (Traditional);Food;American (New);Bakeries;Breakfast & Brunch;Sandwiches","Charlotte","NC",4,206,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1068,"Good"
"60",66,"-OEIW0dO96-492qa_luxaw","""Aces & Ales""","Arts & Entertainment;Pubs;Food;Nightlife;Beer;Wine & Spirits;Restaurants;Casinos;Music Venues;American (Traditional);Bars;Beer Bar;American (New)","Las Vegas","NV",4,250,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,2019,"Good"
"61",67,"-ORqiS4L-8pq3dLsUazXTg","""Asian House""","Restaurants;Thai;Food;Specialty Food;Chinese;Ethnic Food","West Mifflin","PA",4,7,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,20,"Good"
"62",68,"-pEtK-dm5l1-77BrP87j4A","""Varsity Bar-B-Q & Ice Cream""","Barbeque;Restaurants;Coffee & Tea;Food;Ice Cream & Frozen Yogurt","Kannapolis","NC",3.5,27,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,26,"Good"
"63",69,"-QjnuSMIAJhcwOc-8BqalA","""Melt University""","Restaurants;Sandwiches;American (New);Comfort Food;American (Traditional)","Cleveland","OH",3,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,8,"Good"
"64",70,"-r-PA7uWXbpRPeuIZzO3bw","""Village Inn""","American (New);Breakfast & Brunch;Restaurants;American (Traditional)","Mesa","AZ",3,23,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,60,"Good"
"65",71,"-R2kwt0qMnzwEdAfXPvkXg","""Udipi Cafe""","Indian;Restaurants","Monroeville","PA",4,283,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,373,"Good"
"66",72,"-R2z2womJA-NCA2Pbz181g","""Vinny's Authentic Italian Eatery""","Pizza;Italian;Breakfast & Brunch;Restaurants","Middlefield","OH",3.5,11,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,10,"Good"
"67",73,"-raUM9T-1dKPiB5_vRmFYA","""Luke's of Chicago's""","Restaurants;Hot Dogs;Italian;Burgers;Sandwiches","Phoenix","AZ",3.5,188,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,369,"Good"
"68",75,"-UV2tt3gy57-5a29paA_4w","""Sub One Hoagie House""","Sandwiches;Restaurants","Charlotte","NC",4.5,41,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,54,"Good"
"69",76,"-Wxje8_M3S-0wIwdub9Kug","""McDonalds""","Fast Food;Burgers;Restaurants","Glendale","AZ",2,22,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,"Bad"
"70",77,"-YVKZek60jVLf3RQrdJ-8g","""Rainbow Restaurant""","Restaurants;Fish & Chips","Scotland","ELN",3,4,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,"Good"
"71",78,"-ZaQKvtRGQA-4FoUE_1s4w","""That's Amore""","Restaurants;Pizza","Pittsburgh","PA",4,18,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,22,"Good"
"72",79,"_-3aZXuecjOSjramI1IBkA","""Fountain Grille Restaurant""","American (New);American (Traditional);Breakfast & Brunch;Restaurants","Las Vegas","NV",3.5,3,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,22,"Good"
"73",80,"_-fdJ_43D9cHsdPRZ2lx3g","""L'academie""","Local Flavor;Restaurants;American (New)","Scottsdale","AZ",3.5,8,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,18,"Good"
"74",81,"_-FkDma7ozwx7-sYA3wAvQ","""Taco Bell""","Food;Tex-Mex;Fast Food;Restaurants;Mexican","Huntersville","NC",3,16,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,71,"Good"
"75",82,"_-OBx0-ReIMrPOmaReB8-Q","""The Corner Pub""","Restaurants;Nightlife;American (Traditional);Bars;Pubs","Charlotte","NC",4,34,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,158,"Good"
"76",85,"_-W_hRQRDEqVdO1WKGa-DQ","""Max's Allegheny Tavern""","Breakfast & Brunch;Bars;German;Nightlife;Pubs;Restaurants","Pittsburgh","PA",4,202,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,388,"Good"
"77",86,"__fMLrmv9M1_W4kBvR2VnQ","""Dairy Queen""","Restaurants;Food;Fast Food;Ice Cream & Frozen Yogurt","Boulder City","NV",3.5,15,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,82,"Good"
"78",87,"__H_61gpm7eViPMbWxPZSg","""Subway""","Restaurants;Sandwiches;Fast Food","Fountain Hills","AZ",4.5,5,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,26,"Good"
"79",89,"__JYweqfL4T4p27hDG_OpA","""Cafe Kostbar""","Coffee & Tea;Bars;Restaurants;Cafes;Breakfast & Brunch;Food;Nightlife","Stuttgart","BW",2.5,54,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,9,"Bad"
"80",90,"__sXvAzVGUsK6AyzT19v6g","""Pizza & Pasta Villa""","Restaurants;Pasta Shops;Event Planning & Services;Italian;Specialty Food;Food;Caterers;Pizza","Pittsburgh","PA",2.5,7,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,6,"Bad"
"81",91,"__zA29wBG0LleSxMzNHpwQ","""Alberto Ristorante Italiano""","Gluten-Free;Restaurants;Italian","Cave Creek","AZ",4,89,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,51,"Good"
"82",93,"_0W9-Gkjkcct8vcStBU7iQ","""Pasquale's Pizzeria""","Restaurants;Pizza;Chicken Wings;Salad","Pittsburgh","PA",3,4,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,14,"Good"
"83",94,"_0x7W6fizaPP76xNBxBLAQ","""Stephano's Greek & Mediterranean Grill""","Middle Eastern;Greek;Restaurants;Mediterranean;Lebanese","Las Vegas","NV",4,205,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1491,"Good"
"84",95,"_0ZIFTvfcA3UETO_S_JTNA","""McDonald's""","Restaurants;Burgers;Fast Food","Las Vegas","NV",2,45,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,170,"Bad"
"85",98,"_2fjiOHfu-S7fS2n4wfySw","""Jersey Mike's Subs""","Restaurants;Sandwiches;Delis;Fast Food","Las Vegas","NV",4,56,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,307,"Good"
"86",100,"_2trMwFsh5-IqqEcQ-OLVA","""Mac's Speed Shop""","Bars;Chicken Wings;American (Traditional);Nightlife;Sports Bars;Restaurants;Barbeque","Charlotte","NC",3.5,245,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,975,"Good"
"87",101,"_2Wbpm821bdNsh-gyqufrg","""El Pollo Loco""","Mexican;Fast Food;Restaurants","Las Vegas","NV",2,25,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,115,"Bad"
"88",102,"_2zteKyb7si8VxMpGNYpxQ","""Du Jour Restaurant""","American (New);Restaurants","Scottsdale","AZ",4.5,19,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,32,"Good"
"89",103,"_33-XWJONocBnsQZX3JGFQ","""Grandma's Kitchen""","American (Traditional);Restaurants;Breakfast & Brunch","Mesa","AZ",4,45,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,25,"Good"
"90",104,"_3FxLxdg1unUQc3QqIgJuA","""T-Bones Chophouse""","Steakhouses;Restaurants","Las Vegas","NV",3.5,385,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1099,"Good"
"91",106,"_4Gpn_NIM94D9OFucgfaJQ","""Mastro's Ocean Club""","Bars;Steakhouses;Seafood;Lounges;American (Traditional);Nightlife;Restaurants","Scottsdale","AZ",4,569,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1416,"Good"
"92",107,"_4KoAOFWFBu7xCoKtZfv6A","""McAlister's Deli""","Salad;Sandwiches;Delis;Restaurants","Fort Mill","SC",3.5,13,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,68,"Good"
"93",108,"_4n7K_UdRSEMw4vJdsU9jQ","""Ray's Pizza""","Italian;Pizza;Restaurants","Phoenix","AZ",3.5,44,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,67,"Good"
"94",109,"_4qndNOqaB-dDIPCI2MkCg","""Cravings Cafe""","Thai;Restaurants;Food;Coffee & Tea","Rocky River","OH",4,57,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,84,"Good"
"95",110,"_4tCeVrLRmI18BscMiHr7Q","""Asmara Restaurant""","Ethiopian;Restaurants","Las Vegas","NV",4,90,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,153,"Good"
"96",111,"_4Tus-IHFA4ErdNg32yvBQ","""Wendy's""","Restaurants;Fast Food;Burgers","Westlake","OH",2.5,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,102,"Bad"
"97",112,"_4UK9z9ycMPd9AWxJBD1Gw","""New China Buffet""","Restaurants;Buffets","Mesa","AZ",2.5,13,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,10,"Bad"
"98",113,"_4zFDLCB8Ukz9JaJnzTi4g","""Papa Murphy's""","Restaurants;Pizza;Gluten-Free","Huntersville","NC",4.5,22,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,19,"Good"
"99",114,"_58OWmDQ7IUFe8WnKvwzhw","""Tinta Mexicana""","Food;Mexican;Restaurants","Tempe","AZ",2.5,24,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,23,"Bad"
"100",115,"_5inlOVvlrCOKcI772RqJQ","""Benihana""","Japanese;Nightlife;Restaurants;Sushi Bars","Cleveland","OH",2,87,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,91,"Bad"
"101",116,"_5J4CorjvOdKhxgedGjNtg","""Lock 25""","Restaurants;Gastropubs;Bars;Pubs;Nightlife","Edinburgh","EDH",3.5,12,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,24,"Good"
"102",117,"_5p2MuUnX7aYIh0c1WHg1w","""Texas Ranch Steak House""","Steakhouses;Restaurants","Charlotte","NC",3,18,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,12,"Good"
"103",118,"_5PJ4GHIXNdUdXtohylKGQ","""Lucky's Café""","Desserts;Food;Coffee & Tea;Restaurants;Breakfast & Brunch","Cleveland","OH",4,695,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1359,"Good"
"104",119,"_5S-0t10CgqKuMW6yiklHQ","""Los Arcos""","Mexican;Restaurants","Gastonia","NC",3,21,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,19,"Good"
"105",120,"_5Se2W5k_WJuee-aqBpNPA","""The Breakfast Joynt""","Restaurants;Event Planning & Services;Breakfast & Brunch;Caterers","Scottsdale","AZ",4,36,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,43,"Good"
"106",121,"_5UAFrD3EDgJO1aZgRxH7w","""Price's Chicken Coop""","Event Planning & Services;Restaurants;Caterers;Southern","Charlotte","NC",4,345,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,558,"Good"
"107",122,"_5wi2C7x68Bt14qhdCqi1Q","""Roberto's Taco Shop""","Mexican;Fast Food;Restaurants","North Las Vegas","NV",3,70,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,322,"Good"
"108",123,"_6b9CtXi4fQqiu2VjCVpTQ","""Outback Steakhouse""","Restaurants;Steakhouses","Madison","WI",3,59,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,101,"Good"
"109",124,"_6Brh4UGrsnakkBKT1H_Qw","""Beerhead Bar & Eatery""","Food;Restaurants;Sandwiches;Beer Bar;Beer;Wine & Spirits;Beer Gardens;American (Traditional);Bars;Nightlife","Cleveland","OH",3.5,160,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,238,"Good"
"110",125,"_6C-yZCmIyOmPESJbwyaSQ","""Gluten Free Goat Bakery""","Bakeries;Restaurants;Gluten-Free;Vegan;Food","Pittsburgh","PA",4.5,28,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,34,"Good"
"111",126,"_6eGIZJNgEM-gVVfWcGghg","""Manhattan Deli""","American (Traditional);Delis;Sandwiches;Restaurants","Mentor","OH",4,31,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,71,"Good"
"112",127,"_6hReDyVSr94W2WMO1LJLw","""The Root Cafe""","Coffee & Tea;Food;Vegetarian;Restaurants;Bakeries","Lakewood","OH",4.5,268,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1172,"Good"
"113",128,"_6mvQX9x66oz046eS5ii8w","""Juan's Authentic Mexican Food""","Restaurants;Mexican","Phoenix","AZ",4,186,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,506,"Good"
"114",129,"_6n27rKvvDiPzWjcF24onA","""56 Kitchen""","Bars;American (New);Nightlife;Pizza;Restaurants","Solon","OH",4.5,91,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,97,"Good"
